customer_id,signup_date,region,signup_channel
C00001,2025-05-28,上海,社交媒体
C00002,2025-11-09,上海,好友推荐
C00003,2025-11-21,广州,好友推荐
C00004,2025-08-04,广州,搜索广告
C00005,2025-03-16,上海,社交媒体
C00006,2025-01-05,上海,应用商店
C00007,2025-09-18,深圳,社交媒体
C00008,2026-01-28,上海,自然流量
C00009,2025-02-18,杭州,应用商店
C00010,2025-05-02,北京,好友推荐
C00011,2025-08-16,杭州,好友推荐
C00012,2025-01-19,上海,社交媒体
C00013,2026-06-20,上海,自然流量
C00014,2025-05-30,深圳,搜索广告
C00015,2025-04-19,上海,应用商店
C00016,2025-01-26,杭州,好友推荐
C00017,2026-01-07,深圳,应用商店
C00018,2025-07-23,上海,社交媒体
C00019,2025-02-18,成都,搜索广告
C00020,2025-12-15,深圳,搜索广告
C00021,2026-02-01,上海,自然流量
C00022,2025-05-07,北京,自然流量
C00023,2026-05-09,杭州,好友推荐
C00024,2025-11-26,北京,社交媒体
C00025,2025-07-01,北京,自然流量
C00026,2025-11-03,广州,搜索广告
C00027,2026-01-22,北京,社交媒体
C00028,2026-05-02,北京,应用商店
C00029,2026-02-20,杭州,好友推荐
C00030,2025-08-11,深圳,应用商店
C00031,2025-03-07,杭州,社交媒体
C00032,2025-07-24,北京,搜索广告
C00033,2025-06-17,上海,应用商店
C00034,2026-02-05,上海,社交媒体
C00035,2026-04-08,杭州,好友推荐
C00036,2026-02-18,成都,自然流量
C00037,2025-08-28,深圳,自然流量
C00038,2025-04-20,广州,应用商店
C00039,2025-08-21,北京,社交媒体
C00040,2026-04-26,北京,应用商店
C00041,2026-03-03,北京,社交媒体
C00042,2025-08-22,上海,好友推荐
C00043,2025-01-09,深圳,社交媒体
C00044,2026-04-15,杭州,自然流量
C00045,2026-05-18,深圳,应用商店
C00046,2025-07-05,北京,自然流量
C00047,2025-01-31,成都,搜索广告
C00048,2025-10-19,深圳,应用商店
C00049,2025-03-17,北京,社交媒体
C00050,2026-06-09,成都,好友推荐
C00051,2026-01-01,广州,社交媒体
C00052,2025-10-18,北京,应用商店
C00053,2025-10-16,深圳,社交媒体
C00054,2026-05-01,杭州,好友推荐
C00055,2025-11-21,北京,应用商店
C00056,2025-02-02,广州,社交媒体
C00057,2026-06-24,杭州,自然流量
C00058,2025-05-23,杭州,自然流量
C00059,2026-02-21,杭州,好友推荐
C00060,2026-06-21,成都,搜索广告
C00061,2025-08-17,上海,社交媒体
C00062,2025-05-18,上海,社交媒体
C00063,2025-10-07,深圳,自然流量
C00064,2025-12-27,深圳,社交媒体
C00065,2026-05-17,广州,应用商店
C00066,2026-05-02,广州,自然流量
C00067,2025-02-11,杭州,应用商店
C00068,2026-01-26,上海,应用商店
C00069,2025-03-05,上海,搜索广告
C00070,2026-05-15,杭州,社交媒体
C00071,2025-02-21,深圳,搜索广告
C00072,2025-01-21,杭州,搜索广告
C00073,2026-05-15,深圳,社交媒体
C00074,2025-07-20,深圳,搜索广告
C00075,2025-09-02,上海,社交媒体
C00076,2025-08-29,广州,好友推荐
C00077,2025-03-22,北京,应用商店
C00078,2025-05-10,深圳,应用商店
C00079,2025-04-23,广州,应用商店
C00080,2025-03-08,成都,社交媒体
C00081,2025-07-27,上海,搜索广告
C00082,2025-05-31,北京,好友推荐
C00083,2025-08-30,北京,搜索广告
C00084,2025-02-10,杭州,好友推荐
C00085,2026-03-06,成都,搜索广告
C00086,2025-07-02,成都,好友推荐
C00087,2025-06-28,成都,应用商店
C00088,2025-11-08,北京,好友推荐
C00089,2026-06-07,上海,社交媒体
C00090,2026-05-02,北京,好友推荐
C00091,2025-02-16,上海,搜索广告
C00092,2026-06-29,北京,搜索广告
C00093,2026-05-14,上海,社交媒体
C00094,2025-09-09,杭州,好友推荐
C00095,2026-01-05,北京,应用商店
C00096,2026-03-04,北京,社交媒体
C00097,2025-09-21,深圳,好友推荐
C00098,2026-02-04,杭州,社交媒体
C00099,2026-03-15,杭州,搜索广告
C00100,2025-07-20,北京,好友推荐
C00101,2025-11-04,上海,自然流量
C00102,2025-10-23,杭州,应用商店
C00103,2026-04-21,杭州,自然流量
C00104,2025-09-17,杭州,社交媒体
C00105,2025-03-27,广州,自然流量
C00106,2025-06-26,广州,社交媒体
C00107,2026-02-10,广州,社交媒体
C00108,2026-01-02,深圳,社交媒体
C00109,2025-01-10,杭州,自然流量
C00110,2026-03-12,广州,好友推荐
C00111,2025-08-25,北京,搜索广告
C00112,2025-10-26,广州,好友推荐
C00113,2025-06-05,杭州,搜索广告
C00114,2026-01-28,上海,好友推荐
C00115,2025-05-22,上海,好友推荐
C00116,2025-05-24,上海,应用商店
