order_id,customer_id,order_date,category,quantity,unit_price,discount_rate,paid_amount,order_status
O000001,C00075,2026-01-19,美妆个护,5,198.75,0.08,914.25,已退款
O000002,C00253,2025-12-05,食品饮料,3,139.97,0.08,386.32,已支付
O000003,C00395,2026-01-03,服饰鞋包,3,563.46,0,1690.38,已退款
O000004,C00400,2025-11-03,服饰鞋包,2,424.37,0.1,763.87,已支付
O000005,C00404,2026-06-01,家居日用,1,212.16,0.1,190.94,已支付
O000006,C00208,2026-05-12,服饰鞋包,2,639.44,0.05,1214.94,已支付
O000007,C00396,2025-11-18,数码电子,3,959.78,0,2879.34,已支付
O000008,C00509,2026-01-26,运动户外,1,276.36,0.2,221.09,已退款
O000009,C00332,2026-05-04,服饰鞋包,2,89.93,0,179.86,已支付
O000010,C00255,2026-01-26,数码电子,1,534.92,0,534.92,已支付
O000011,C00365,2025-07-19,美妆个护,1,259.7,0.15,220.74,已取消
O000012,C00475,2025-07-20,美妆个护,3,61.85,0.15,157.72,已取消
O000013,C00418,2026-05-22,美妆个护,1,87.21,0.1,78.49,已支付
O000014,C00431,2025-09-20,运动户外,2,102.88,0.08,189.3,已支付
O000015,C00174,2026-05-30,服饰鞋包,4,427.07,0,1708.28,已支付
O000016,C00340,2026-05-05,服饰鞋包,4,421.08,0.15,1431.67,已退款
O000017,C00422,2026-06-14,美妆个护,4,171.37,0,685.48,已支付
O000018,C00388,2025-11-14,食品饮料,3,24.17,0.1,65.26,已支付
O000019,C00212,2025-10-13,食品饮料,1,37.25,0.05,35.39,已退款
O000020,C00072,2026-03-12,服饰鞋包,3,181.39,0.08,500.64,已支付
O000021,C00388,2025-11-15,服饰鞋包,1,605.2,0.08,556.78,已支付
O000022,C00355,2026-01-12,服饰鞋包,1,616.23,0.2,492.98,已支付
O000023,C00200,2026-05-07,食品饮料,4,98.96,0,395.84,已支付
O000024,C00528,2026-06-28,服饰鞋包,3,666.19,0.1,1798.71,已支付
O000025,C00378,2026-01-21,美妆个护,2,222.63,0,445.26,已取消
O000026,C00498,2025-10-29,家居日用,1,334.89,0,334.89,已退款
O000027,C00045,2025-12-09,运动户外,1,93.41,0.08,85.94,已支付
O000028,C00555,2026-01-23,数码电子,3,788.75,0,2366.25,已退款
O000029,C00151,2025-12-29,家居日用,2,82.57,0.08,151.93,已支付
O000030,C00206,2026-01-16,食品饮料,5,74.51,0.05,353.92,已支付
O000031,C00262,2026-05-19,美妆个护,3,136.64,0.15,348.43,已支付
O000032,C00019,2026-01-03,运动户外,1,482.65,0.1,434.38,已取消
O000033,C00187,2026-02-10,家居日用,1,158.84,0.1,142.96,已支付
O000034,C00452,2025-10-11,食品饮料,1,185.18,0.15,157.4,已取消
O000035,C00381,2025-09-13,美妆个护,4,66.77,0.1,240.37,已支付
O000036,C00126,2025-08-25,家居日用,4,333.35,0.08,1226.73,已支付
O000037,C00242,2026-05-09,美妆个护,1,188.26,0.15,160.02,已退款
O000038,C00525,2025-11-02,数码电子,1,724.47,0.2,579.58,已支付
O000039,C00167,2026-06-13,食品饮料,2,102.14,0.15,173.64,已支付
O000040,C00403,2026-04-25,服饰鞋包,1,111.2,0.05,105.64,已支付
O000041,C00568,2026-05-30,数码电子,1,977.48,0.08,899.28,已退款
O000042,C00275,2025-08-18,服饰鞋包,1,645.88,0.05,613.59,已支付
O000043,C00213,2026-02-28,食品饮料,1,69.12,0.15,58.75,已取消
O000044,C00557,2025-11-19,家居日用,2,284.67,0.2,455.47,已支付
O000045,C00345,2025-11-13,服饰鞋包,2,349.94,0,699.88,已支付
O000046,C00550,2025-09-16,运动户外,1,146.66,0,146.66,已退款
O000047,C00170,2025-08-27,服饰鞋包,1,581.67,0.2,465.34,已支付
O000048,C00573,2026-05-28,家居日用,1,67.61,0.1,60.85,已支付
O000049,C00266,2025-11-16,美妆个护,1,184.18,0.05,174.97,已支付
O000050,C00104,2026-05-11,家居日用,1,429.57,0.08,395.2,已支付
O000051,C00019,2026-05-17,美妆个护,1,212.71,0.1,191.44,已支付
O000052,C00432,2025-08-10,运动户外,1,130.35,0.1,117.31,已退款
O000053,C00164,2026-06-17,服饰鞋包,4,84.92,0.1,305.71,已退款
O000054,C00181,2025-11-25,数码电子,2,426.35,0,852.7,已支付
O000055,C00140,2025-08-15,美妆个护,3,272.23,0,816.69,已取消
O000056,C00507,2025-07-09,运动户外,1,203.81,0.2,163.05,已退款
O000057,C00554,2026-05-01,数码电子,1,1241.94,0,1241.94,已退款
O000058,C00041,2025-08-13,数码电子,1,1080.16,0,1080.16,已取消
O000059,C00442,2026-05-30,运动户外,1,428.23,0,428.23,已取消
O000060,C00284,2025-12-20,服饰鞋包,2,541.68,0,1083.36,已支付
O000061,C00128,2026-03-09,运动户外,1,132.48,0.08,121.88,已支付
O000062,C00010,2026-03-04,运动户外,1,431.52,0.2,345.22,已支付
O000063,C00166,2025-08-25,运动户外,3,160.47,0.15,409.2,已支付
O000064,C00463,2026-02-04,数码电子,1,641.41,0.2,513.13,已支付
O000065,C00525,2026-06-10,家居日用,1,258.87,0.15,220.04,已取消
O000066,C00068,2026-06-30,数码电子,3,209.3,0.05,596.51,已支付
O000067,C00047,2025-07-06,服饰鞋包,2,623.24,0.15,1059.51,已支付
